Date,Διεύθυνση (°)_kozani,Μέγιστη ένταση 3ώρου (knots)_kozani,Ένταση (knots)_kozani,Θερμ/σία (°C)_kozani,Σχετ.Υγρασία  (%)_kozani,Διεύθυνση (°)_agxialos,Μέγιστη ένταση 3ώρου (knots)_agxialos,Ένταση (knots)_agxialos,Θερμ/σία (°C)_agxialos,Σχετ.Υγρασία  (%)_agxialos,Διεύθυνση (°)_aktio,Μέγιστη ένταση 3ώρου (knots)_aktio,Ένταση (knots)_aktio,Θερμ/σία (°C)_aktio,Σχετ.Υγρασία  (%)_aktio,Διεύθυνση (°)_aleksandroupoli,Μέγιστη ένταση 3ώρου (knots)_aleksandroupoli,Θερμ/σία (°C)_aleksandroupoli,Σχετ.Υγρασία  (%)_aleksandroupoli,Διεύθυνση (°)_araxos,Μέγιστη ένταση 3ώρου (knots)_araxos,Ένταση (knots)_araxos,Θερμ/σία (°C)_araxos,Σχετ.Υγρασία  (%)_araxos,Διεύθυνση (°)_argos,Μέγιστη ένταση 3ώρου (knots)_argos,Ένταση (knots)_argos,Θερμ/σία (°C)_argos,Σχετ.Υγρασία  (%)_argos,Διεύθυνση (°)_florina,Μέγιστη ένταση 3ώρου (knots)_florina,Ένταση (knots)_florina,Θερμ/σία (°C)_florina,Σχετ.Υγρασία  (%)_florina,Διεύθυνση (°)_ioannina,Θερμ/σία (°C)_ioannina,Σχετ.Υγρασία  (%)_ioannina,Διεύθυνση (°)_kalamata,Μέγιστη ένταση 3ώρου (knots)_kalamata,Ένταση (knots)_kalamata,Θερμ/σία (°C)_kalamata,Σχετ.Υγρασία  (%)_kalamata,Διεύθυνση (°)_kavala,Μέγιστη ένταση 3ώρου (knots)_kavala,Ένταση (knots)_kavala,Θερμ/σία (°C)_kavala,Σχετ.Υγρασία  (%)_kavala,Energy (MWh)
1442361600000000000,0.0,4.0,0.0,18.4,90.0,290.0,10.0,5.0,19.2,67.0,280.0,15.0,6.0,24.8,68.0,20.0,15.0,9.4,74.0,0.0,4.0,0.0,19.4,93.0,320.0,18.0,7.0,15.3,67.0,110.24132730015083,9.0,4.0,3.1,70.0,160.0,22.8,73.0,0.0,7.0,0.0,24.4,62.0,70.0,10.0,7.0,14.6,58.0,644.0
1442448000000000000,0.0,4.0,0.0,19.2,83.0,110.0,19.0,13.0,29.4,28.0,270.0,16.0,13.0,29.8,43.0,10.0,17.0,9.6,69.0,280.0,19.0,5.0,25.0,75.0,10.0,18.0,7.0,16.6,60.0,0.0,0.0,0.0,-5.9,87.0,140.0,14.5,97.0,340.0,15.0,4.0,22.8,61.0,210.0,15.0,10.0,19.6,49.0,641.12
1442534400000000000,0.0,4.0,0.0,20.6,80.0,270.0,8.0,6.0,23.2,51.0,50.0,9.0,5.0,21.0,86.0,20.0,18.0,7.8,72.0,40.0,11.0,4.0,29.0,51.0,236.9479353680431,17.0,3.0,13.2,66.0,0.0,0.0,0.0,-0.2,74.0,0.0,26.8,30.0,170.0,14.0,8.0,29.0,50.0,0.0,4.0,0.0,10.6,82.0,642.25
1442620800000000000,0.0,5.0,0.0,22.2,60.0,270.0,10.0,7.0,17.8,61.0,260.0,14.0,10.0,26.2,72.0,40.0,17.0,6.6,60.0,0.0,4.0,0.0,23.6,76.0,320.0,12.0,5.0,10.7,78.0,0.0,0.0,0.0,-1.5,84.0,0.0,14.8,95.0,360.0,13.0,5.0,22.2,59.0,0.0,5.0,0.0,16.8,72.0,628.17
1442707200000000000,0.0,5.0,0.0,20.4,74.0,290.0,11.0,6.0,22.4,46.0,60.0,6.0,5.0,22.0,86.0,50.0,10.0,4.4,71.0,30.0,16.0,9.0,29.8,38.0,236.9479353680431,13.0,4.0,10.0,65.0,0.0,0.0,0.0,6.4,64.0,0.0,27.5,36.0,130.0,15.0,11.0,30.4,42.0,80.0,8.0,5.0,11.4,87.0,579.33
1442793600000000000,330.0,7.0,6.0,16.0,90.0,140.0,16.0,3.0,25.4,42.0,70.0,10.0,4.0,30.4,40.0,70.0,16.0,10.6,40.0,260.0,14.0,4.0,31.0,37.0,236.9479353680431,13.0,4.0,19.8,33.0,0.0,0.0,0.0,6.4,72.0,0.0,17.1,86.0,0.0,11.0,0.0,26.0,52.0,230.0,5.0,4.0,20.8,55.0,302.33
1442880000000000000,330.0,15.0,10.0,14.8,87.0,80.0,11.0,9.0,31.2,30.0,90.0,10.0,5.0,24.8,54.0,80.0,7.0,5.4,69.0,50.0,15.0,8.0,28.0,43.0,236.9479353680431,8.0,2.0,4.6,78.0,0.0,6.0,0.0,5.6,71.0,0.0,27.9,39.0,80.0,17.0,6.0,32.6,32.0,0.0,4.0,0.0,13.0,83.0,370.62
1442966400000000000,0.0,5.0,0.0,15.6,89.0,270.0,9.0,7.0,20.8,42.0,310.0,15.0,10.0,29.6,55.0,98.60147213459517,4.0,-1.8,94.0,40.0,17.0,8.0,27.0,44.0,340.0,8.0,4.0,10.4,66.0,0.0,0.0,0.0,-5.2,89.0,0.0,13.6,99.0,0.0,7.0,0.0,20.4,62.0,210.0,7.0,4.0,22.6,58.0,455.92
1443052800000000000,0.0,4.0,0.0,16.8,87.0,130.0,11.0,6.0,34.0,23.0,70.0,13.0,8.0,26.2,47.0,20.0,13.0,7.6,75.0,30.0,23.0,15.0,33.4,22.0,236.9479353680431,4.0,2.0,19.9,41.0,0.0,0.0,0.0,-2.9,91.0,0.0,22.4,75.0,150.0,17.0,9.0,29.4,41.0,0.0,5.0,0.0,16.0,85.0,507.83
1443139200000000000,340.0,8.0,4.0,15.6,87.0,270.0,9.0,4.0,22.6,51.0,270.0,16.0,11.0,29.6,51.0,30.0,15.0,11.6,51.0,70.0,21.0,6.0,26.4,40.0,350.0,6.0,4.0,9.8,86.0,0.0,0.0,0.0,-5.3,89.0,0.0,15.0,93.0,0.0,6.0,0.0,17.0,81.0,0.0,9.0,0.0,21.4,71.0,427.5
1443225600000000000,330.0,8.0,5.0,15.0,87.0,130.0,15.0,10.0,31.6,33.0,60.0,11.0,6.0,26.0,58.0,40.0,15.0,8.8,58.0,30.0,22.0,14.0,34.0,18.0,236.9479353680431,3.0,1.0,20.8,45.0,0.0,0.0,0.0,-0.9,81.0,0.0,23.6,61.0,180.0,13.0,8.0,29.8,36.0,80.0,5.0,4.0,16.6,87.0,238.33
1443312000000000000,210.0,9.0,7.0,14.0,91.0,0.0,7.0,0.0,16.6,87.0,260.0,17.0,10.0,30.2,61.0,10.0,18.0,8.2,59.0,0.0,10.0,0.0,22.6,61.0,350.0,5.0,3.0,9.4,88.0,0.0,0.0,0.0,6.5,63.0,0.0,14.6,100.0,0.0,6.0,0.0,15.6,78.0,230.0,9.0,6.0,21.8,73.0,504.17
1443398400000000000,310.0,17.0,15.0,14.2,76.0,330.0,10.0,5.0,24.2,58.0,80.0,15.0,6.0,24.4,68.0,10.0,25.0,6.4,62.0,0.0,4.0,0.0,17.2,86.0,20.0,6.0,4.0,5.8,100.0,0.0,0.0,0.0,6.2,64.0,0.0,27.2,56.0,0.0,6.0,0.0,22.4,42.0,0.0,5.0,0.0,18.6,78.0,545.5
1443484800000000000,320.0,16.0,14.0,12.2,74.0,100.0,17.0,11.0,30.0,48.0,70.0,12.0,7.0,26.2,48.0,360.0,28.0,8.6,48.0,30.0,17.0,11.0,31.6,22.0,360.0,9.0,4.0,8.6,88.0,0.0,0.0,0.0,-2.9,90.0,0.0,32.7,36.0,180.0,11.0,8.0,30.8,30.0,0.0,5.0,0.0,15.8,89.0,482.12
1443571200000000000,330.0,12.0,8.0,12.6,74.0,100.0,15.0,5.0,24.8,65.0,50.0,9.0,7.0,33.2,21.0,20.0,22.0,6.2,53.0,30.0,24.0,14.0,34.2,18.0,320.0,15.0,7.0,22.4,36.0,0.0,0.0,0.0,-4.4,89.0,0.0,19.7,87.0,0.0,10.0,0.0,22.0,81.0,90.0,10.0,6.0,22.2,61.0,401.42
1443657600000000000,0.0,4.0,0.0,12.6,90.0,250.0,9.0,4.0,17.8,72.0,200.0,6.0,4.0,27.6,56.0,60.0,18.0,8.6,45.0,10.0,14.0,4.0,25.0,41.0,236.9479353680431,10.0,2.0,10.1,92.0,0.0,0.0,0.0,6.2,69.0,0.0,19.2,88.0,0.0,6.0,0.0,16.8,68.0,0.0,6.0,0.0,19.6,86.0,509.54
1443744000000000000,0.0,4.0,0.0,12.0,92.0,90.0,14.0,10.0,27.0,59.0,60.0,14.0,6.0,34.2,22.0,70.0,9.0,-4.0,83.0,30.0,22.0,13.0,34.8,21.0,340.0,15.0,9.0,22.3,28.0,0.0,0.0,0.0,3.2,81.0,0.0,21.8,61.0,190.0,11.0,5.0,26.6,42.0,50.0,15.0,11.0,19.4,68.0,517.67
1443830400000000000,0.0,4.0,0.0,9.4,92.0,80.0,11.0,7.0,29.0,55.0,110.0,18.0,14.0,20.0,52.0,0.0,8.0,0.4,85.0,50.0,10.0,5.0,29.4,39.0,320.0,6.0,3.0,5.6,100.0,0.0,0.0,0.0,-3.3,89.0,0.0,32.7,30.0,150.0,11.0,6.0,31.4,34.0,50.0,9.0,4.0,15.8,77.0,572.79
1443916800000000000,0.0,4.0,0.0,13.0,93.0,0.0,13.0,0.0,27.6,42.0,113.43584305408271,10.0,3.0,33.0,27.0,40.0,13.0,12.2,47.0,20.0,25.0,15.0,35.0,25.0,236.9479353680431,5.0,1.0,25.5,27.0,0.0,0.0,0.0,4.9,68.0,0.0,20.8,79.0,0.0,14.0,0.0,23.4,65.0,0.0,6.0,0.0,19.0,63.0,553.0
1444003200000000000,0.0,5.0,0.0,14.2,88.0,270.0,7.0,4.0,21.4,64.0,280.0,16.0,11.0,30.6,61.0,0.0,9.0,4.2,80.0,30.0,16.0,6.0,27.6,45.0,330.0,6.0,4.0,11.3,94.0,0.0,0.0,0.0,5.0,65.0,0.0,15.2,99.0,0.0,9.0,0.0,16.8,75.0,190.0,8.0,4.0,20.6,64.0,542.21
1444089600000000000,330.0,8.0,4.0,15.2,70.0,70.0,14.0,7.0,32.6,37.0,70.0,8.0,4.0,25.8,62.0,0.0,7.0,11.0,78.0,240.0,17.0,10.0,30.2,45.0,236.9479353680431,8.0,4.0,24.6,34.0,0.0,0.0,0.0,-5.1,89.0,0.0,24.6,74.0,130.0,18.0,10.0,28.0,68.0,50.0,12.0,8.0,16.4,83.0,565.54
1444176000000000000,0.0,5.0,0.0,14.2,82.0,220.0,6.0,4.0,26.6,46.0,280.0,14.0,7.0,26.2,81.0,210.0,8.0,12.4,69.0,0.0,8.0,0.0,22.8,67.0,340.0,7.0,4.0,10.1,100.0,0.0,0.0,0.0,-2.1,88.0,0.0,19.4,73.0,0.0,5.0,0.0,23.2,72.0,50.0,14.0,7.0,15.4,91.0,408.67
1444262400000000000,0.0,4.0,0.0,14.6,91.0,260.0,8.0,4.0,23.8,57.0,270.0,17.0,13.0,30.4,59.0,0.0,6.0,7.4,86.0,0.0,5.0,0.0,23.8,91.0,236.9479353680431,8.0,2.0,21.8,64.0,0.0,0.0,0.0,5.9,66.0,0.0,21.0,53.0,0.0,8.0,0.0,23.4,82.0,30.0,17.0,9.0,18.6,88.0,408.0
1444348800000000000,0.0,5.0,0.0,14.0,93.0,100.0,13.0,10.0,37.6,20.0,0.0,5.0,0.0,22.8,87.0,0.0,4.0,0.4,89.0,240.0,15.0,7.0,30.8,58.0,50.0,5.0,2.0,9.4,46.0,0.0,0.0,0.0,3.6,76.0,0.0,16.6,80.0,350.0,13.0,5.0,35.0,17.0,0.0,4.0,0.0,15.4,91.0,510.29
1444435200000000000,0.0,5.0,0.0,14.2,95.0,230.0,12.0,6.0,25.6,43.0,270.0,12.0,8.0,26.8,76.0,0.0,6.0,4.2,84.0,0.0,3.0,0.0,20.8,99.0,360.0,5.0,4.0,11.1,49.0,0.0,4.0,0.0,1.7,79.0,0.0,25.0,47.0,310.0,7.0,4.0,21.2,80.0,70.0,10.0,6.0,19.4,77.0,234.17
1444521600000000000,0.0,5.0,0.0,12.8,97.0,90.0,23.0,18.0,30.2,46.0,40.0,6.0,4.0,24.0,89.0,70.0,17.0,14.8,56.0,250.0,12.0,6.0,30.8,56.0,236.9479353680431,6.0,2.0,9.5,52.0,340.0,18.0,10.0,1.0,61.0,0.0,19.0,91.0,150.0,11.0,6.0,31.4,48.0,40.0,7.0,4.0,16.0,91.0,408.25
1444608000000000000,0.0,5.0,0.0,15.4,76.0,110.0,21.0,11.0,25.4,67.0,270.0,7.0,4.0,30.2,58.0,20.0,7.0,8.8,76.0,0.0,10.0,0.0,26.4,85.0,236.9479353680431,8.0,5.0,24.5,46.0,10.0,12.0,6.0,-1.9,65.0,0.0,15.9,100.0,350.0,17.0,5.0,27.6,51.0,110.0,12.0,7.0,19.2,68.0,544.75
1444694400000000000,270.0,10.0,5.0,11.2,85.0,30.0,16.0,8.0,28.0,48.0,0.0,6.0,0.0,22.2,86.0,98.60147213459517,6.0,11.4,66.0,68.66298342541437,7.0,3.0,31.0,52.0,236.9479353680431,5.0,2.0,8.8,58.0,0.0,15.0,0.0,-3.9,47.0,0.0,17.6,93.0,20.0,10.0,4.0,35.2,23.0,40.0,11.0,7.0,15.4,74.0,625.75
1444780800000000000,0.0,5.0,0.0,11.0,87.0,90.0,18.0,15.0,23.0,70.0,270.0,15.0,11.0,30.2,68.0,50.0,10.0,14.0,51.0,0.0,4.0,0.0,21.6,87.0,360.0,4.0,3.0,12.5,52.5,0.0,0.0,0.0,-5.6,57.0,0.0,18.6,86.0,0.0,8.0,0.0,23.4,58.0,110.0,10.0,6.0,19.4,58.0,460.25
1444867200000000000,0.0,5.0,0.0,14.4,91.0,100.0,23.0,17.0,24.4,60.0,70.0,8.0,6.0,25.8,72.0,0.0,4.0,7.0,74.0,240.0,12.0,5.0,30.6,65.0,236.9479353680431,12.0,5.0,22.5,47.0,0.0,4.0,0.0,-7.4,75.0,0.0,15.2,97.0,360.0,16.0,8.0,36.2,18.0,50.0,10.0,7.0,16.4,73.0,463.67
1444953600000000000,0.0,4.0,0.0,13.6,95.0,100.0,17.0,11.0,22.8,81.0,290.0,12.0,5.0,25.8,58.0,0.0,6.0,3.0,93.0,0.0,4.0,0.0,26.2,84.0,360.0,6.0,3.0,7.5,59.0,0.0,5.0,0.0,1.1,52.0,0.0,16.3,97.0,320.0,8.0,4.0,26.2,65.0,0.0,6.0,0.0,14.0,84.0,296.04
1445040000000000000,0.0,4.0,0.0,13.2,93.0,250.0,15.0,5.0,21.0,90.0,270.0,16.0,11.0,31.0,39.0,20.0,20.0,6.8,71.0,0.0,6.0,0.0,26.4,67.0,236.9479353680431,6.0,2.0,11.6,96.0,160.0,15.0,9.0,0.9,67.0,0.0,14.2,100.0,340.0,17.0,5.0,26.0,67.0,140.0,14.0,7.0,18.4,60.0,419.71
1445126400000000000,0.0,4.0,0.0,13.2,93.0,280.0,12.0,7.0,22.6,83.0,0.0,5.0,0.0,23.8,66.0,10.0,26.0,2.6,37.0,0.0,5.0,0.0,24.4,79.0,236.9479353680431,9.0,3.0,8.1,100.0,150.0,19.0,7.0,0.6,86.0,0.0,21.4,55.0,350.0,14.0,5.0,26.2,60.0,0.0,5.0,0.0,15.6,83.0,302.04
1445212800000000000,0.0,4.0,0.0,13.6,91.0,100.0,14.0,12.0,29.2,57.0,0.0,3.0,0.0,20.0,81.0,10.0,26.0,-0.2,37.0,260.0,12.0,4.0,31.4,36.0,236.9479353680431,7.0,1.0,22.3,44.0,0.0,3.0,0.0,-1.1,90.0,0.0,14.3,97.0,60.0,14.0,4.0,35.0,24.0,0.0,5.0,0.0,12.8,86.0,405.46
1445299200000000000,0.0,4.0,0.0,11.8,95.0,290.0,10.0,7.0,21.2,62.0,0.0,14.0,0.0,23.4,79.0,360.0,22.0,-1.0,34.0,0.0,4.0,0.0,19.2,81.0,350.0,6.0,2.0,8.5,65.0,160.0,14.0,8.0,8.7,58.0,0.0,24.2,47.0,0.0,5.0,0.0,20.2,82.0,0.0,5.0,0.0,16.4,85.0,377.58
1445385600000000000,320.0,15.0,13.0,11.4,87.0,140.0,18.0,5.0,23.4,68.0,160.0,17.0,10.0,28.4,58.0,180.0,10.0,2.2,45.0,50.0,20.0,10.0,24.6,76.0,236.9479353680431,8.0,2.0,18.1,81.0,0.0,7.0,0.0,2.6,94.0,0.0,12.6,99.0,0.0,7.0,0.0,23.2,82.0,50.0,8.0,5.0,17.6,76.0,304.71
1445472000000000000,330.0,12.0,11.0,7.4,94.0,170.0,12.0,5.0,23.0,76.0,120.0,12.0,6.0,20.0,94.0,70.0,16.0,-0.8,42.0,60.0,13.0,7.0,25.6,74.0,236.9479353680431,6.0,2.0,7.4,61.0,0.0,12.0,0.0,9.8,73.0,0.0,18.2,80.0,220.0,7.0,4.0,28.2,51.0,0.0,6.0,0.0,16.4,85.0,245.17
1445558400000000000,320.0,17.0,14.0,7.6,83.0,270.0,7.0,4.0,16.4,77.0,270.0,20.0,14.0,26.8,54.0,20.0,20.0,-0.8,64.0,170.0,11.0,8.0,24.2,88.0,360.0,6.0,3.0,9.7,69.0,0.0,21.0,0.0,8.9,90.0,0.0,20.2,70.0,0.0,4.0,0.0,19.4,91.0,0.0,7.0,0.0,20.2,74.0,273.96
1445644800000000000,330.0,22.0,15.0,7.2,85.0,110.0,16.0,11.0,26.8,47.0,0.0,10.0,0.0,22.6,59.0,20.0,23.0,1.2,88.0,260.0,15.0,7.0,27.6,55.0,236.9479353680431,8.0,5.0,21.4,64.0,110.24132730015083,20.0,1.0,8.7,51.0,0.0,14.3,78.0,340.0,18.0,6.0,23.8,57.0,40.0,6.0,4.0,15.0,93.0,420.67
1445731200000000000,310.0,16.0,10.0,10.0,67.0,280.0,5.0,4.0,16.8,78.0,270.0,16.0,12.0,26.8,48.0,60.0,16.0,3.8,77.0,0.0,7.0,0.0,19.6,77.0,340.0,6.0,3.0,9.4,62.0,270.0,29.0,9.0,7.5,40.0,0.0,21.9,42.0,320.0,9.0,4.0,19.0,65.0,230.0,10.0,5.0,20.6,82.0,613.62
1445817600000000000,300.0,10.0,5.0,6.2,76.0,250.0,8.0,6.0,20.8,61.0,0.0,3.0,0.0,21.4,79.0,0.0,9.0,2.6,89.0,0.0,4.0,0.0,21.2,77.0,236.9479353680431,8.0,3.0,9.3,60.0,70.0,22.0,6.0,1.9,63.0,0.0,18.0,51.0,0.0,17.0,0.0,28.4,39.0,0.0,6.0,0.0,17.4,90.0,595.12
1445904000000000000,0.0,5.0,0.0,5.8,84.0,220.0,9.0,4.0,18.2,84.0,280.0,10.0,8.0,29.4,42.0,60.0,10.0,5.6,94.0,0.0,10.0,0.0,21.2,78.0,180.0,20.0,8.0,19.6,63.0,0.0,0.0,0.0,7.4,49.0,0.0,20.6,40.0,0.0,7.0,0.0,18.2,72.0,110.0,11.0,7.0,17.6,80.0,582.42
1445990400000000000,0.0,4.0,0.0,13.2,75.0,100.0,16.0,12.0,27.4,55.0,50.0,12.0,8.0,21.8,74.0,0.0,9.0,9.2,95.0,68.66298342541437,15.0,4.0,31.2,26.0,236.9479353680431,15.0,1.0,15.1,73.0,0.0,0.0,0.0,-1.5,86.0,0.0,9.3,93.0,350.0,15.0,4.0,29.4,42.0,70.0,12.0,8.0,14.4,76.0,486.88
1446076800000000000,0.0,4.0,0.0,9.0,91.0,150.0,15.0,3.0,23.8,66.0,113.43584305408271,10.0,3.0,28.8,39.0,140.0,7.0,12.4,93.0,0.0,10.0,0.0,24.2,76.0,236.9479353680431,20.0,2.0,16.8,75.0,110.24132730015083,8.0,5.0,11.6,56.0,0.0,10.2,94.0,0.0,11.0,0.0,21.0,80.0,60.0,20.0,14.0,12.4,90.0,454.17
